GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
6037910713,5724,32.8,70.8,14,12.2,80,49.3,100,221300,5.9,0,19.3,0,4.46,1428 (USD),"$54,784 ",49.5,69.1,10.5,17.5,88.3,7,51.8,29.4
6037910712,2876,27.5,69.3,14.5,14.1,46,50.5,100,218200,6.2,0,20.1,13.5,4.87,1423 (USD),"$63,750 ",50.7,64.6,10.3,35.4,90.6,10,55.5,29.2
6037920339,7474,38.3,12.9,60.4,1.4,1685,51.3,60.5,662100,6.4,0.6,28.4,8,2.77,2068 (USD),"$127,852 ",33.7,78.5,3.4,19.2,87.3,58.6,75.7,23.4
6037910210,7324,35.3,26.5,49.3,18.4,160,51.2,97.8,311900,6.9,0.9,28,8.4,3.18,1781 (USD),"$95,517 ",36.8,73.9,2.5,26.2,79.6,27.3,84.3,11.4
6037920012,1040,48.9,16.4,77.9,0,22,58,97.4,243500,4.8,11.7,27.9,0,2.03,1121 (USD),"$66,250 ",41.3,76.7,6.6,22.4,94,27.3,87.3,9.1
6037920011,278,45.4,20.1,56.8,8.6,9,68,85.6,293800,4.4,38.1,30.8,0,1.36,,"$63,438 ",50.5,64,20.6,74.5,75.9,24.7,78.1,8.3
6037910812,308,53.7,8.4,90.3,0,4,41.9,85.2,294300,5.9,16.1,12.2,38.5,3.56,2056 (USD),"$74,844 ",55.4,67.2,20.8,9.1,94.5,14.8,93.3,5.5
6037910811,151,49.1,10.6,87.4,2,0,56.3,90.4,405600,7.3,0,0,,,,"$125,250 ",65.4,46.4,0,100,92.7,35.8,91.4,1.3
6037910001,6313,29.3,63.8,18.7,15,102,48.3,92.3,183700,5.8,0.5,28.8,0,4.37,1321 (USD),"$42,627 ",44.5,76,22.8,24.3,95.6,8.6,49.2,23.8
6037901213,3868,41.7,10.7,79,7.3,40,49.3,96.8,392800,7.6,2.9,7.4,0,2.99,2233 (USD),"$107,475 ",39.4,86.5,4.8,30.4,83.9,28.5,93.3,6.4
6037901209,1383,50.1,24.9,63.8,5.5,51,51,74.1,218300,5.8,5.8,19.8,0,3.48,1295 (USD),"$55,625 ",41.1,81.5,12.8,14.5,95,13.7,86.1,10.8
6037980020,0,,,,,0,,,,,,,,,,,,,,,,,,
6037920038,4612,31.3,60.7,23.2,3.7,274,49,4.4,209100,3.9,0,61.5,4.1,2.96,1516 (USD),"$49,957 ",34.1,69.5,24.7,17.5,81.1,21.1,45.7,30.7
6037670405,2818,51.5,9.2,49.4,1.3,1005,51.1,56.5,999500,6.3,0,24.8,7.6,1.64,1538 (USD),"$94,032 ",34.5,85.5,4.2,27.4,94.3,71.9,62.7,33
6037702803,3229,38.7,41.9,42.3,4.3,249,50.5,42,766900,4.2,22.2,62.3,0.9,2.72,1522 (USD),"$69,526 ",28.1,71.3,11.2,36.3,79.7,39.9,58,29.5
6037900806,4769,32.3,32.6,21.1,41,221,39,30.2,189400,3.7,4.1,91.7,1.3,2.35,747 (USD),"$20,044 ",26.5,85.5,48.9,23.9,88.4,7.7,82.5,6.9
6037703100,5734,45.7,10.1,7.7,76.1,168,45.1,70.3,624600,5.8,18,34.1,5.2,1.81,1274 (USD),"$74,583 ",31,81.4,12.6,27.5,91,50.1,89.4,6.4
6037910403,2188,21.3,87,4.3,4.5,10,47.6,13.4,211100,4,15.6,95.3,11,3.78,843 (USD),"$20,000 ",31.2,60.9,64.6,13.6,77.2,5.3,41.9,35.9
6037910807,6608,35.8,31.5,43.4,6.6,985,46.2,62.3,439700,6.2,0.6,24.5,0,3.73,2064 (USD),"$107,078 ",41.3,86,6.5,30,89.9,32.2,74.9,21.1
6037910810,2846,37.9,23.1,58.3,3.2,233,54.2,97.3,567200,7.1,0,2.5,20,3.5,,"$138,875 ",40.5,75.1,4.6,26.8,93.3,32.9,78.5,13.6
6037920037,7654,29.1,66.9,16.6,9,307,50.5,0,264400,3.8,0,83.6,6.1,3.65,1619 (USD),"$54,895 ",29.6,63.1,24.9,18.4,84.5,16.1,50.9,30.7
6037920042,7444,33.4,33.5,40.6,8.6,963,44.6,39.9,384800,4.8,0.6,44.9,0,2.89,1820 (USD),"$84,212 ",39.3,79.5,7.6,29.2,83.8,24.3,76.8,15.5
6037920107,4580,33.2,16.3,49.1,4.4,1332,48.3,78.3,622200,6.9,0,24,0,3.38,2164 (USD),"$147,321 ",38.5,75.5,3.8,18.8,85.1,63.9,65.9,24.7
6037920328,2044,41.9,11.1,65.8,2,290,49,35.2,837000,4.4,0,54.2,7.6,2.08,1906 (USD),"$96,667 ",37.2,77.8,12.1,26.2,76.9,59.5,78.8,23.1
6037900804,3333,36.2,58.3,14.3,23,104,49.6,71.7,137500,5.5,0.6,52.7,4.4,3.23,1070 (USD),"$34,222 ",29.3,85.3,27.3,18.2,92.1,7.3,56.5,16.5
6037920026,389,50.9,18,65.6,0,36,59.9,86.5,546900,5.7,0,9.6,0,1.6,,"$61,500 ",29.5,37.5,20.6,40.5,93.6,23.9,73.2,23.7
6037920035,7462,35.5,49.8,36.3,0.5,879,47.4,71.4,363300,5.7,0.8,23.6,0,3.39,1792 (USD),"$79,250 ",37.8,76.2,7.9,29.7,89.6,27.5,51.7,31.1
6037700901,3690,43.5,6.8,76.8,0.8,473,46.9,46,1405000,5.1,53.3,56.4,5.8,2.17,1874 (USD),"$74,375 ",23.8,71.7,10.5,33.6,90.5,64.3,46.5,36.4
6037701100,1045,54.9,18.5,35.8,33.8,76,85.7,55.2,875000,3.8,22.4,61.2,0,2.2,1212 (USD),,46.7,31.3,57.5,39.2,46.4,11.3,75.8,11.1
6037603200,3232,46.8,28.2,10.6,12.6,1488,47.2,52.5,513500,5,2.3,22.4,0,3.06,1287 (USD),"$66,818 ",24.6,86,6.3,42.3,88.4,37.7,41.9,42
6037609900,2090,45,58.5,28.5,2.2,117,48.3,60.1,486900,4.2,23.8,56.1,3.7,2.74,1306 (USD),"$67,386 ",25.7,86.4,18.4,37.5,87.2,19.8,55.9,28.1
6037620303,4442,41.6,6.1,77.2,0.1,497,48.9,84.3,1976100,6.8,1.8,21.2,16.8,2.57,2310 (USD),"$161,200 ",33.1,79,2.1,4.3,91.4,81.8,88,5.8
6037621400,4759,40.2,11.3,74,1.5,450,45.8,61,941400,5.1,1.6,49.5,0,2.01,1816 (USD),"$102,880 ",30,76.3,5.4,26.1,86.7,65.7,82.5,15.9
6037650101,5750,46,17.1,18.7,1.6,3109,49,80.8,604000,5.6,0,23.3,0,2.79,1635 (USD),"$97,746 ",26.9,82.4,6.8,31.6,82.9,41.5,68.5,25.5
6037603101,4073,40.6,33.7,13.9,21.1,1114,47.4,40.4,400700,4.3,6.9,62.3,5.9,2.44,1274 (USD),"$55,123 ",24.9,80.7,16.9,31.6,80.7,28.1,51.9,34.7
6037603400,4640,36.8,40.7,14.8,11,1078,44.7,65,449600,5.2,8,38.4,4.8,3.69,1323 (USD),"$54,786 ",30,78.5,6.6,27.2,94.6,26.5,46.5,30.6
